地区名,最寄駅距離（分）,取引価格,間取り,面積（㎡）,建築年,築年数,構造,都市計画,建ぺい率（％）,容積率（％）,取引年,改装
名瀬町,25,15000000,２ＬＤＫ,60,昭和56年,39,ＲＣ,準工業地域,60,200,2020,改装済
名瀬町,25,16000000,３ＬＤＫ,75,昭和56年,39,ＳＲＣ,準工業地域,60,200,2020,改装済
名瀬町,45,27000000,４ＬＤＫ,90,平成13年,18,ＲＣ,準工業地域,60,200,2019,未改装
名瀬町,26,27000000,３ＬＤＫ,80,平成22年,9,ＲＣ,準工業地域,60,200,2019,未改装
名瀬町,26,16000000,３ＬＤＫ,80,昭和56年,38,ＳＲＣ,準工業地域,60,200,2019,改装済
名瀬町,45,12000000,３ＬＤＫ,80,昭和56年,38,ＳＲＣ,準工業地域,60,200,2019,未改装
原宿,45,4700000,３ＬＤＫ,75,昭和48年,48,ＲＣ,第２種中高層住居専用地域,60,150,2021,未改装
原宿,45,3500000,３ＬＤＫ,45,昭和44年,52,ＲＣ,第１種中高層住居専用地域,60,150,2021,未改装
原宿,45,23000000,３ＬＤＫ＋Ｓ,110,昭和63年,32,ＳＲＣ,準住居地域,60,200,2020,改装済
原宿,45,5000000,３ＤＫ,45,昭和44年,51,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
原宿,45,8300000,２ＬＤＫ,45,昭和44年,51,ＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
原宿,45,3400000,２ＬＤＫ,45,昭和44年,51,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
原宿,45,3600000,３ＬＤＫ,60,昭和47年,48,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
原宿,45,3400000,２ＬＤＫ,45,昭和44年,51,ＲＣ,第１種中高層住居専用地域,60,200,2020,改装済
原宿,45,10000000,２ＤＫ,45,昭和44年,51,ＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
原宿,45,8000000,４ＤＫ,75,昭和48年,47,ＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
原宿,45,4500000,３ＬＤＫ,70,昭和48年,47,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
原宿,45,3700000,２ＬＤＫ,45,昭和41年,53,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
原宿,45,3800000,３ＤＫ,45,昭和44年,50,ＲＣ,準住居地域,60,200,2019,未改装
原宿,75,2800000,３ＬＤＫ,70,昭和47年,47,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
原宿,45,7400000,２ＬＤＫ,70,昭和56年,38,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
原宿,45,19000000,３ＬＤＫ,65,平成20年,11,ＲＣ,近隣商業地域,80,200,2019,未改装
原宿,45,3900000,２ＬＤＫ,45,昭和44年,50,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
原宿,45,18000000,３ＬＤＫ,70,昭和63年,31,ＳＲＣ,準住居地域,60,200,2019,未改装
原宿,45,2400000,３ＤＫ,45,昭和44年,50,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
